CO_PROCEDIMENTO,Descricao,ValorTUNEP,TP_PROCEDIMENTO
101030010,HIPOFISECTOMIA CIRURGICA,"2.818,78",A
201010038,BIOPSIA DA PARATIREOIDE,"582,20",H
201010097,BIOPSIA DA CONJUNTIVA,"95,55",H
201010119,BIOPSIA DA CORNEA,"114,60",H
201010127,BIOPSIA DO CORPO VERTEBRAL ABERTA,"582,20",H
201010135,"BIOPSIA DO CORPO VERTEBRAL, LAMINA OU PEDICULO COM ","451,45",H
201010143,BIOPSIA ENDOMIOCARDICA,"539,43",H
201010160,BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UT,"119,96",H
201010186,BIOPSIA DA ESCLERA,"177,11",H
201010208,BIOPSIA DO FIGADO POR LAPAROTOMIA,"362,20",H
201010240,BIOPSIA DA IRIS E CORPO CILIAR,"445,35",H
201010259,BIOPSIA DE VERTEBRA ABERTA,"582,20",H
201010267,BIOPSIA DE BAINHA TENDINOSA,"160,11",H
201010305,BIOPSIA DO OMOPLATA OU DA CLAVICULA,"571,78",H
201010313,BIOPSIA OSSEA AO NIVEL DA PELVE,"532,92",H
201010321,BIOPSIA DO FEMUR,"532,66",H
201010330,BIOPSIA DO UMERO,"489,12",H
201010402,BIOPSIA DE PLEURA OU PLEUROSCOPIA,"342,70",H
201010534,BIOPSIA ESTEREOTAXICA,"2.655,24",H
201010550,BIOPSIA PRE-ESCALENICA,"365,69",H
202031098,MICROHEMAGLUTINACAO PARA O TREPONEMA PALLIDUM PA,"5,00",H
204020018,MIELOGRAFIA,"212,85",H
205010016,ECOCARDIOGRAFIA DE ESTRESSE,"90,00",H
205010024,ECOCARDIOGRAFIA TRANSEOFAGICA TRANSOPERATORIO,"120,00",H
205010032,ECOCARDIOGRAFIA BI-DIMENSIONAL COM OU SEM DOPPLER,"20,48",H
205010040,ULTRA SONOGRAFIA DOPPLER COLORIDO DE VASOS ( ATE,"3,00",H
206010010,HISTERECTOMIA PUERPERAL,"1.518,50",A
206010028,TC DE COLUNA EM SERVICO CREDENCIADO DE NEUROCIRUR,"433,75",H
206010028,HISTERECTOMIA PUERPERAL,"1.518,50",A
206010036,HISTERECTOMIA PUERPERAL,"1.518,50",A
206010036,TC DE COLUNA EM SERVICO CREDENCIADO DE NEUROCIRUR,"433,75",H
206010060,TOMOGRAFIA COMPUTADORIZADA (CRANIO E COLUNA),"305,36",H
206010079,TOMOGRAFIA COMPUTADORIZADA (CRANIO E COLUNA),"305,36",H
206020031,LAPAROTOMIA PARA HISTERORRAFIA,"881,91",A
206020031,TOMOGRAFIA COMPUTADORIZADA II (TORAX),"238,70",H
206030010,EMBRIOTOMIA,"973,89",A
206030010,TOMOGRAFIA COMPUTADORIZADA III (ABDOMEN),"452,00",H
206030037,TOMOGRAFIA COMPUTADORIZADA III (ABDOMEN),"452,00",H
207010013,NEFROSTOMIA SEM OU COM DRENAGEM,"1.081,38",A
207010013,ANGIOGRAFIA POR RNM EM SERVICO CREDENCIADO DE NEU,"525,00",H
207010021,ORQUIECTOMIA BILATERAL,"487,37",A
207010030,URETROTOMIA INTERNA,"678,06",A
207010048,RETIRADA DE CALCULO DE PELVE RENAL COM CATETER,"768,75",A
207010064,TRATAMENTO CIRURGICO DO PRIAPRISMO,"928,88",A
207010064,RESSONANCIA MAGNETICA,"470,31",H
207010072,TRATAMENTO CIRURGICO DO PRIAPRISMO,"928,88",A
207010072,RESSONANCIA MAGNETICA,"470,31",H
207020019,NEFROURETERECTOMIA TOTAL,"1.654,79",A
207030030,TRATAMENTO CIRURGICO DE FISTULA VESICO UTERINA,"1.221,21",A
207030049,COLANGIORESSONANCIA MAGNETICA,"470,31",H
208010033,CINTILOGRAFIA DO MIOCARDIO /PERFUSAO - ESTRESSE (MIN,"336,01",H
208010041,CINTILOGRAFIA DO MIOCARDIO/NECROSE (MINIMO  PROJEC,"3,00",H
208010068,CINTILOGRAFIA PARA QUANTIFICACAO DE SHUNT EXTRACAR,"96,80",H
208010076,CINTILOGRAFIA SINCRONIZADA CAMARAS CARDIACAS - ESFO,"170,77",H
208010084,VENTRICULOGRAFIA,"212,82",H
208060022,CISTERNOGRAFIA,"212,82",H
209010061,"VIDEOSCOPIA PARA DIAGNOSTICO PARA DRENAGEM, TOALET ","87,50",H
209040017,BRONCOSCOPIA E EXERESE DE PAPILOMAS,"709,60",H
209040033,TRAQUEOSCOPIA E EXERESE DE PAPILOMAS,"444,27",H
209040050,VIDEOTORACOSCOPIA,"1.868,39",H
210010010,ANGIOGRAFIA CEREBRAL BILATERAL,"314,06",H
210010045,AORTOGRAFIA,"298,27",H
210010053,AORTOGRAFIA,"298,27",H
210010061,ARTERIOGRAFIA CERVICO-TORACICA,"314,06",H
210010070,ARTERIOGRAFIA DOS MEMBROS,"314,06",H
210010096,ARTERIOGRAFIA PARA INVESTIGACAO DA DOENCA ARTEREO,"504,33",H
210010100,ARTERIOGRAFIA PARA INVESTIGACAO HEMORRAGIA CEREBR,"504,43",H
